(before (clear b1)),(before (clear b2)),(before (clear b3)),(before (clear b4)),(before (clear b5)),(before (clear b6)),(before (clear b7)),(before (clear b8)),(before (handempty)),(before (holding b1)),(before (holding b2)),(before (holding b5)),(before (holding b7)),(before (holding b8)),(before (on b1 b2)),(before (on b1 b3)),(before (on b1 b4)),(before (on b1 b5)),(before (on b1 b6)),(before (on b1 b7)),(before (on b1 b8)),(before (on b2 b1)),(before (on b2 b3)),(before (on b2 b4)),(before (on b2 b5)),(before (on b2 b6)),(before (on b2 b7)),(before (on b2 b8)),(before (on b3 b1)),(before (on b3 b2)),(before (on b3 b4)),(before (on b3 b5)),(before (on b3 b6)),(before (on b3 b7)),(before (on b3 b8)),(before (on b4 b1)),(before (on b4 b2)),(before (on b4 b3)),(before (on b4 b5)),(before (on b4 b6)),(before (on b4 b7)),(before (on b4 b8)),(before (on b5 b1)),(before (on b5 b2)),(before (on b5 b3)),(before (on b5 b4)),(before (on b5 b6)),(before (on b5 b7)),(before (on b5 b8)),(before (on b6 b1)),(before (on b6 b2)),(before (on b6 b3)),(before (on b6 b4)),(before (on b6 b5)),(before (on b6 b7)),(before (on b6 b8)),(before (on b7 b1)),(before (on b7 b2)),(before (on b7 b3)),(before (on b7 b4)),(before (on b7 b5)),(before (on b7 b6)),(before (on b7 b8)),(before (on b8 b1)),(before (on b8 b2)),(before (on b8 b3)),(before (on b8 b4)),(before (on b8 b5)),(before (on b8 b6)),(before (on b8 b7)),(before (ontable b1)),(before (ontable b2)),(before (ontable b3)),(before (ontable b4)),(before (ontable b5)),(before (ontable b6)),(before (ontable b7)),(before (ontable b8)),action,(after (clear b1)),(after (clear b2)),(after (clear b3)),(after (clear b4)),(after (clear b5)),(after (clear b6)),(after (clear b7)),(after (clear b8)),(after (handempty)),(after (holding b1)),(after (holding b2)),(after (holding b5)),(after (holding b7)),(after (holding b8)),(after (on b1 b2)),(after (on b1 b3)),(after (on b1 b4)),(after (on b1 b5)),(after (on b1 b6)),(after (on b1 b7)),(after (on b1 b8)),(after (on b2 b1)),(after (on b2 b3)),(after (on b2 b4)),(after (on b2 b5)),(after (on b2 b6)),(after (on b2 b7)),(after (on b2 b8)),(after (on b3 b1)),(after (on b3 b2)),(after (on b3 b4)),(after (on b3 b5)),(after (on b3 b6)),(after (on b3 b7)),(after (on b3 b8)),(after (on b4 b1)),(after (on b4 b2)),(after (on b4 b3)),(after (on b4 b5)),(after (on b4 b6)),(after (on b4 b7)),(after (on b4 b8)),(after (on b5 b1)),(after (on b5 b2)),(after (on b5 b3)),(after (on b5 b4)),(after (on b5 b6)),(after (on b5 b7)),(after (on b5 b8)),(after (on b6 b1)),(after (on b6 b2)),(after (on b6 b3)),(after (on b6 b4)),(after (on b6 b5)),(after (on b6 b7)),(after (on b6 b8)),(after (on b7 b1)),(after (on b7 b2)),(after (on b7 b3)),(after (on b7 b4)),(after (on b7 b5)),(after (on b7 b6)),(after (on b7 b8)),(after (on b8 b1)),(after (on b8 b2)),(after (on b8 b3)),(after (on b8 b4)),(after (on b8 b5)),(after (on b8 b6)),(after (on b8 b7)),(after (ontable b1)),(after (ontable b2)),(after (ontable b3)),(after (ontable b4)),(after (ontable b5)),(after (ontable b6)),(after (ontable b7)),(after (ontable b8))
False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,True,True,False,True,False,(stack b2 b6),True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,False,(unstack b2 b8),True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
False,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,(put-down b1),True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,(pick-up b1),False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
False,True,False,True,True,True,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,(put-down b1),True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
True,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,(pick-up b1),False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,(put-down b1),True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False
True,False,False,True,True,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True,(unstack b1 b6),False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,(stack b1 b6),True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,(unstack b1 b6),False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
