(before (clear b10)),(before (clear b2)),(before (clear b8)),(before (handempty)),(before (holding b10)),(before (holding b2)),(before (on b10 b2)),(before (on b10 b8)),(before (on b2 b10)),(before (on b2 b8)),(before (ontable b10)),(before (ontable b2)),(after (clear b1)),(after (clear b10)),(after (clear b2)),(after (clear b3)),(after (clear b4)),(after (clear b5)),(after (clear b6)),(after (clear b7)),(after (clear b8)),(after (clear b9)),(after (handempty)),(after (holding b10)),(after (holding b2)),(after (on b1 b1)),(after (on b1 b10)),(after (on b1 b2)),(after (on b1 b3)),(after (on b1 b4)),(after (on b1 b5)),(after (on b1 b6)),(after (on b1 b7)),(after (on b1 b8)),(after (on b1 b9)),(after (on b10 b1)),(after (on b10 b10)),(after (on b10 b2)),(after (on b10 b3)),(after (on b10 b4)),(after (on b10 b5)),(after (on b10 b6)),(after (on b10 b7)),(after (on b10 b8)),(after (on b10 b9)),(after (on b2 b1)),(after (on b2 b10)),(after (on b2 b2)),(after (on b2 b3)),(after (on b2 b4)),(after (on b2 b5)),(after (on b2 b6)),(after (on b2 b7)),(after (on b2 b8)),(after (on b2 b9)),(after (on b3 b1)),(after (on b3 b10)),(after (on b3 b2)),(after (on b3 b3)),(after (on b3 b4)),(after (on b3 b5)),(after (on b3 b6)),(after (on b3 b7)),(after (on b3 b8)),(after (on b3 b9)),(after (on b4 b1)),(after (on b4 b10)),(after (on b4 b2)),(after (on b4 b3)),(after (on b4 b4)),(after (on b4 b5)),(after (on b4 b6)),(after (on b4 b7)),(after (on b4 b8)),(after (on b4 b9)),(after (on b5 b1)),(after (on b5 b10)),(after (on b5 b2)),(after (on b5 b3)),(after (on b5 b4)),(after (on b5 b5)),(after (on b5 b6)),(after (on b5 b7)),(after (on b5 b8)),(after (on b5 b9)),(after (on b6 b1)),(after (on b6 b10)),(after (on b6 b2)),(after (on b6 b3)),(after (on b6 b4)),(after (on b6 b5)),(after (on b6 b6)),(after (on b6 b7)),(after (on b6 b8)),(after (on b6 b9)),(after (on b7 b1)),(after (on b7 b10)),(after (on b7 b2)),(after (on b7 b3)),(after (on b7 b4)),(after (on b7 b5)),(after (on b7 b6)),(after (on b7 b7)),(after (on b7 b8)),(after (on b7 b9)),(after (on b8 b1)),(after (on b8 b10)),(after (on b8 b2)),(after (on b8 b3)),(after (on b8 b4)),(after (on b8 b5)),(after (on b8 b6)),(after (on b8 b7)),(after (on b8 b8)),(after (on b8 b9)),(after (on b9 b1)),(after (on b9 b10)),(after (on b9 b2)),(after (on b9 b3)),(after (on b9 b4)),(after (on b9 b5)),(after (on b9 b6)),(after (on b9 b7)),(after (on b9 b8)),(after (on b9 b9)),(after (ontable b1)),(after (ontable b10)),(after (ontable b2)),(after (ontable b3)),(after (ontable b4)),(after (ontable b5)),(after (ontable b6)),(after (ontable b7)),(after (ontable b8)),(after (ontable b9)),Decision
True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,(stack b2 b10)
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,(unstack b2 b10)
True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,(pick-up b2)
False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,(stack b10 b8)
True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,(pick-up b10)
True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,(put-down b2)
True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,(pick-up b2)
False,True,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,(unstack b2 b10)
True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,(stack b2 b10)
True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,(unstack b2 b8)
