(before (clear b1)),(before (clear b2)),(before (handempty)),(before (holding b2)),(before (on b1 b1)),(before (on b1 b2)),(before (on b2 b1)),(before (on b2 b2)),(before (ontable b1)),(before (ontable b2)),action,(after (clear b1)),(after (clear b2)),(after (handempty)),(after (holding b2)),(after (on b1 b1)),(after (on b1 b2)),(after (on b2 b1)),(after (on b2 b2)),(after (ontable b1)),(after (ontable b2))
true,false,false,true,false,false,false,false,true,false,(put-down b2),true,true,true,false,false,false,false,false,true,true
true,true,true,false,false,false,false,false,true,true,(pick-up b2),true,false,false,true,false,false,false,false,true,false
true,false,false,true,false,false,false,false,true,false,(put-down b2),true,true,true,false,false,false,false,false,true,true
false,true,true,false,false,false,true,false,true,false,(unstack b2 b1),true,false,false,true,false,false,false,false,true,false
true,false,false,true,false,false,false,false,true,false,(stack b2 b1),false,true,true,false,false,false,true,false,true,false
false,true,true,false,false,false,true,false,true,false,(unstack b2 b1),true,false,false,true,false,false,false,false,true,false
true,false,false,true,false,false,false,false,true,false,(stack b2 b1),false,true,true,false,false,false,true,false,true,false
false,true,true,false,false,false,true,false,true,false,(unstack b2 b1),true,false,false,true,false,false,false,false,true,false
true,false,false,true,false,false,false,false,true,false,(stack b2 b1),false,true,true,false,false,false,true,false,true,false
true,true,true,false,false,false,false,false,true,true,(pick-up b2),true,false,false,true,false,false,false,false,true,false
