(before (clear b1)),(before (clear b2)),(before (clear b3)),(before (handempty)),(before (holding b1)),(before (holding b2)),(before (holding b3)),(before (on b1 b1)),(before (on b1 b2)),(before (on b1 b3)),(before (on b2 b1)),(before (on b2 b2)),(before (on b2 b3)),(before (on b3 b1)),(before (on b3 b2)),(before (on b3 b3)),(before (ontable b1)),(before (ontable b2)),(before (ontable b3)),action,(after (clear b1)),(after (clear b2)),(after (clear b3)),(after (handempty)),(after (holding b1)),(after (holding b2)),(after (holding b3)),(after (on b1 b1)),(after (on b1 b2)),(after (on b1 b3)),(after (on b2 b1)),(after (on b2 b2)),(after (on b2 b3)),(after (on b3 b1)),(after (on b3 b2)),(after (on b3 b3)),(after (ontable b1)),(after (ontable b2)),(after (ontable b3))
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(pick-up b1),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(put-down b1),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(pick-up b1),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(put-down b1),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(pick-up b1),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(put-down b1),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,(put-down b3),True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(unstack b3 b2),True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(put-down b1),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(pick-up b1),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,(stack b3 b2),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,(unstack b3 b2),True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(put-down b1),True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,(unstack b1 b3),False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(stack b1 b3),True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
