(before (clear b1)),(before (clear b2)),(before (clear b3)),(before (handempty)),(before (holding b1)),(before (holding b2)),(before (holding b3)),(before (on b1 b1)),(before (on b1 b2)),(before (on b1 b3)),(before (on b2 b1)),(before (on b2 b2)),(before (on b2 b3)),(before (on b3 b1)),(before (on b3 b2)),(before (on b3 b3)),(before (ontable b1)),(before (ontable b2)),(before (ontable b3)),action,(after (clear b1)),(after (clear b2)),(after (clear b3)),(after (handempty)),(after (holding b1)),(after (holding b2)),(after (holding b3)),(after (on b1 b1)),(after (on b1 b2)),(after (on b1 b3)),(after (on b2 b1)),(after (on b2 b2)),(after (on b2 b3)),(after (on b3 b1)),(after (on b3 b2)),(after (on b3 b3)),(after (ontable b1)),(after (ontable b2)),(after (ontable b3))
true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,(put-down b3),true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true
true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,(unstack b3 b2),true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false
false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,(put-down b1),true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false
true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,(unstack b1 b3),false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false
false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,(stack b1 b3),true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false
true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,(pick-up b1),false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false
true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,(stack b3 b2),true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false
true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,(unstack b3 b2),true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false
false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,(put-down b1),true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false
true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,(unstack b1 b3),false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false
