(before (at d1 s0)),(before (at d1 s2)),(before (at d1 s4)),(before (at d2 s0)),(before (at d2 s1)),(before (at d2 s3)),(before (at o1 s2)),(before (at t1 s1)),(before (at t1 s2)),(before (driving d1 t1)),(before (empty t1)),(before (in o1 t1)),(after (at d1 s0)),(after (at d1 s1)),(after (at d1 s2)),(after (at d1 s3)),(after (at d1 s4)),(after (at d1 s5)),(after (at d1 s6)),(after (at d2 s0)),(after (at d2 s1)),(after (at d2 s2)),(after (at d2 s3)),(after (at d2 s4)),(after (at d2 s5)),(after (at d2 s6)),(after (at o1 s0)),(after (at o1 s1)),(after (at o1 s2)),(after (at o1 s3)),(after (at o1 s4)),(after (at o1 s5)),(after (at o1 s6)),(after (at o2 s0)),(after (at o2 s1)),(after (at o2 s2)),(after (at o2 s3)),(after (at o2 s4)),(after (at o2 s5)),(after (at o2 s6)),(after (at o3 s0)),(after (at o3 s1)),(after (at o3 s2)),(after (at o3 s3)),(after (at o3 s4)),(after (at o3 s5)),(after (at o3 s6)),(after (at t1 s0)),(after (at t1 s1)),(after (at t1 s2)),(after (at t1 s3)),(after (at t1 s4)),(after (at t1 s5)),(after (at t1 s6)),(after (at t2 s0)),(after (at t2 s1)),(after (at t2 s2)),(after (at t2 s3)),(after (at t2 s4)),(after (at t2 s5)),(after (at t2 s6)),(after (driving d1 t1)),(after (driving d1 t2)),(after (driving d2 t1)),(after (driving d2 t2)),(after (empty t1)),(after (empty t2)),(after (in o1 t1)),(after (in o1 t2)),(after (in o2 t1)),(after (in o2 t2)),(after (in o3 t1)),(after (in o3 t2)),(after (is_driver d1)),(after (is_driver d2)),(after (is_object o1)),(after (is_object o2)),(after (is_object o3)),(after (is_truck t1)),(after (is_truck t2)),(after (link s0 s0)),(after (link s0 s1)),(after (link s0 s2)),(after (link s0 s3)),(after (link s0 s4)),(after (link s0 s5)),(after (link s0 s6)),(after (link s1 s0)),(after (link s1 s1)),(after (link s1 s2)),(after (link s1 s3)),(after (link s1 s4)),(after (link s1 s5)),(after (link s1 s6)),(after (link s2 s0)),(after (link s2 s1)),(after (link s2 s2)),(after (link s2 s3)),(after (link s2 s4)),(after (link s2 s5)),(after (link s2 s6)),(after (link s3 s0)),(after (link s3 s1)),(after (link s3 s2)),(after (link s3 s3)),(after (link s3 s4)),(after (link s3 s5)),(after (link s3 s6)),(after (link s4 s0)),(after (link s4 s1)),(after (link s4 s2)),(after (link s4 s3)),(after (link s4 s4)),(after (link s4 s5)),(after (link s4 s6)),(after (link s5 s0)),(after (link s5 s1)),(after (link s5 s2)),(after (link s5 s3)),(after (link s5 s4)),(after (link s5 s5)),(after (link s5 s6)),(after (link s6 s0)),(after (link s6 s1)),(after (link s6 s2)),(after (link s6 s3)),(after (link s6 s4)),(after (link s6 s5)),(after (link s6 s6)),(after (path s0 s0)),(after (path s0 s1)),(after (path s0 s2)),(after (path s0 s3)),(after (path s0 s4)),(after (path s0 s5)),(after (path s0 s6)),(after (path s1 s0)),(after (path s1 s1)),(after (path s1 s2)),(after (path s1 s3)),(after (path s1 s4)),(after (path s1 s5)),(after (path s1 s6)),(after (path s2 s0)),(after (path s2 s1)),(after (path s2 s2)),(after (path s2 s3)),(after (path s2 s4)),(after (path s2 s5)),(after (path s2 s6)),(after (path s3 s0)),(after (path s3 s1)),(after (path s3 s2)),(after (path s3 s3)),(after (path s3 s4)),(after (path s3 s5)),(after (path s3 s6)),(after (path s4 s0)),(after (path s4 s1)),(after (path s4 s2)),(after (path s4 s3)),(after (path s4 s4)),(after (path s4 s5)),(after (path s4 s6)),(after (path s5 s0)),(after (path s5 s1)),(after (path s5 s2)),(after (path s5 s3)),(after (path s5 s4)),(after (path s5 s5)),(after (path s5 s6)),(after (path s6 s0)),(after (path s6 s1)),(after (path s6 s2)),(after (path s6 s3)),(after (path s6 s4)),(after (path s6 s5)),(after (path s6 s6)),Decision
False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(drive-truck t1 s1 s2 d1)
False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(drive-truck t1 s2 s1 d1)
False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(board-truck d1 t1 s2)
False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d2 s1 s3)
False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d1 s4 s2)
False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(load-truck o1 t1 s2)
False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d2 s3 s1)
False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d2 s1 s3)
False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d2 s0 s3)
False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,(walk d2 s3 s0)
