(before (at b12 r2)),(before (at b13 r1)),(before (at b13 r2)),(before (at b3 r2)),(before (at b8 r2)),(before (at-robby r1)),(before (at-robby r2)),(before (carry b12 g1)),(before (carry b13 g2)),(before (carry b3 g1)),(before (carry b8 g2)),(before (free g1)),(before (free g2)),(after (at b1 r1)),(after (at b1 r2)),(after (at b1 r3)),(after (at b10 r1)),(after (at b10 r2)),(after (at b10 r3)),(after (at b11 r1)),(after (at b11 r2)),(after (at b11 r3)),(after (at b12 r1)),(after (at b12 r2)),(after (at b12 r3)),(after (at b13 r1)),(after (at b13 r2)),(after (at b13 r3)),(after (at b14 r1)),(after (at b14 r2)),(after (at b14 r3)),(after (at b2 r1)),(after (at b2 r2)),(after (at b2 r3)),(after (at b3 r1)),(after (at b3 r2)),(after (at b3 r3)),(after (at b4 r1)),(after (at b4 r2)),(after (at b4 r3)),(after (at b5 r1)),(after (at b5 r2)),(after (at b5 r3)),(after (at b6 r1)),(after (at b6 r2)),(after (at b6 r3)),(after (at b7 r1)),(after (at b7 r2)),(after (at b7 r3)),(after (at b8 r1)),(after (at b8 r2)),(after (at b8 r3)),(after (at b9 r1)),(after (at b9 r2)),(after (at b9 r3)),(after (at-robby r1)),(after (at-robby r2)),(after (at-robby r3)),(after (carry b1 g1)),(after (carry b1 g2)),(after (carry b10 g1)),(after (carry b10 g2)),(after (carry b11 g1)),(after (carry b11 g2)),(after (carry b12 g1)),(after (carry b12 g2)),(after (carry b13 g1)),(after (carry b13 g2)),(after (carry b14 g1)),(after (carry b14 g2)),(after (carry b2 g1)),(after (carry b2 g2)),(after (carry b3 g1)),(after (carry b3 g2)),(after (carry b4 g1)),(after (carry b4 g2)),(after (carry b5 g1)),(after (carry b5 g2)),(after (carry b6 g1)),(after (carry b6 g2)),(after (carry b7 g1)),(after (carry b7 g2)),(after (carry b8 g1)),(after (carry b8 g2)),(after (carry b9 g1)),(after (carry b9 g2)),(after (free g1)),(after (free g2)),Decision
False,True,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,(pick b8 r2 g2)
True,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,(pick b12 r2 g1)
True,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,(drop b8 r2 g2)
True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,(drop b3 r2 g1)
True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,(pick b8 r2 g2)
True,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,(move r1 r2)
True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,(drop b13 r1 g2)
True,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,(move r2 r1)
True,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,(pick b3 r2 g1)
True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,(pick b13 r2 g2)
