(before block-negative b1),(before block-negative b10),(before block-negative b11),(before block-negative b2),(before block-negative b3),(before block-negative b4),(before block-negative b5),(before block-negative b6),(before block-negative b7),(before block-negative b8),(before block-negative b9),(before block-positive b1),(before block-positive b10),(before block-positive b11),(before block-positive b2),(before block-positive b3),(before block-positive b4),(before block-positive b5),(before block-positive b6),(before block-positive b7),(before block-positive b8),(before block-positive b9),(before clear b1),(before clear b10),(before clear b11),(before clear b2),(before clear b3),(before clear b4),(before clear b5),(before clear b6),(before clear b7),(before clear b8),(before clear b9),(before empty h1),(before empty h2),(before hand-negative h1),(before hand-negative h2),(before hand-positive h1),(before hand-positive h2),(before holding h1 b1),(before holding h1 b10),(before holding h1 b11),(before holding h1 b2),(before holding h1 b3),(before holding h1 b4),(before holding h1 b5),(before holding h1 b6),(before holding h1 b7),(before holding h1 b8),(before holding h1 b9),(before holding h2 b1),(before holding h2 b10),(before holding h2 b11),(before holding h2 b2),(before holding h2 b3),(before holding h2 b4),(before holding h2 b5),(before holding h2 b6),(before holding h2 b7),(before holding h2 b8),(before holding h2 b9),(before on b1 b1),(before on b1 b10),(before on b1 b11),(before on b1 b2),(before on b1 b3),(before on b1 b4),(before on b1 b5),(before on b1 b6),(before on b1 b7),(before on b1 b8),(before on b1 b9),(before on b10 b1),(before on b10 b10),(before on b10 b11),(before on b10 b2),(before on b10 b3),(before on b10 b4),(before on b10 b5),(before on b10 b6),(before on b10 b7),(before on b10 b8),(before on b10 b9),(before on b11 b1),(before on b11 b10),(before on b11 b11),(before on b11 b2),(before on b11 b3),(before on b11 b4),(before on b11 b5),(before on b11 b6),(before on b11 b7),(before on b11 b8),(before on b11 b9),(before on b2 b1),(before on b2 b10),(before on b2 b11),(before on b2 b2),(before on b2 b3),(before on b2 b4),(before on b2 b5),(before on b2 b6),(before on b2 b7),(before on b2 b8),(before on b2 b9),(before on b3 b1),(before on b3 b10),(before on b3 b11),(before on b3 b2),(before on b3 b3),(before on b3 b4),(before on b3 b5),(before on b3 b6),(before on b3 b7),(before on b3 b8),(before on b3 b9),(before on b4 b1),(before on b4 b10),(before on b4 b11),(before on b4 b2),(before on b4 b3),(before on b4 b4),(before on b4 b5),(before on b4 b6),(before on b4 b7),(before on b4 b8),(before on b4 b9),(before on b5 b1),(before on b5 b10),(before on b5 b11),(before on b5 b2),(before on b5 b3),(before on b5 b4),(before on b5 b5),(before on b5 b6),(before on b5 b7),(before on b5 b8),(before on b5 b9),(before on b6 b1),(before on b6 b10),(before on b6 b11),(before on b6 b2),(before on b6 b3),(before on b6 b4),(before on b6 b5),(before on b6 b6),(before on b6 b7),(before on b6 b8),(before on b6 b9),(before on b7 b1),(before on b7 b10),(before on b7 b11),(before on b7 b2),(before on b7 b3),(before on b7 b4),(before on b7 b5),(before on b7 b6),(before on b7 b7),(before on b7 b8),(before on b7 b9),(before on b8 b1),(before on b8 b10),(before on b8 b11),(before on b8 b2),(before on b8 b3),(before on b8 b4),(before on b8 b5),(before on b8 b6),(before on b8 b7),(before on b8 b8),(before on b8 b9),(before on b9 b1),(before on b9 b10),(before on b9 b11),(before on b9 b2),(before on b9 b3),(before on b9 b4),(before on b9 b5),(before on b9 b6),(before on b9 b7),(before on b9 b8),(before on b9 b9),(before on-table b1),(before on-table b10),(before on-table b11),(before on-table b2),(before on-table b3),(before on-table b4),(before on-table b5),(before on-table b6),(before on-table b7),(before on-table b8),(before on-table b9),(before solid b1),(before solid b10),(before solid b11),(before solid b2),(before solid b3),(before solid b4),(before solid b5),(before solid b6),(before solid b7),(before solid b8),(before solid b9),action,(after block-negative b1),(after block-negative b10),(after block-negative b11),(after block-negative b2),(after block-negative b3),(after block-negative b4),(after block-negative b5),(after block-negative b6),(after block-negative b7),(after block-negative b8),(after block-negative b9),(after block-positive b1),(after block-positive b10),(after block-positive b11),(after block-positive b2),(after block-positive b3),(after block-positive b4),(after block-positive b5),(after block-positive b6),(after block-positive b7),(after block-positive b8),(after block-positive b9),(after clear b1),(after clear b10),(after clear b11),(after clear b2),(after clear b3),(after clear b4),(after clear b5),(after clear b6),(after clear b7),(after clear b8),(after clear b9),(after empty h1),(after empty h2),(after hand-negative h1),(after hand-negative h2),(after hand-positive h1),(after hand-positive h2),(after holding h1 b1),(after holding h1 b10),(after holding h1 b11),(after holding h1 b2),(after holding h1 b3),(after holding h1 b4),(after holding h1 b5),(after holding h1 b6),(after holding h1 b7),(after holding h1 b8),(after holding h1 b9),(after holding h2 b1),(after holding h2 b10),(after holding h2 b11),(after holding h2 b2),(after holding h2 b3),(after holding h2 b4),(after holding h2 b5),(after holding h2 b6),(after holding h2 b7),(after holding h2 b8),(after holding h2 b9),(after on b1 b1),(after on b1 b10),(after on b1 b11),(after on b1 b2),(after on b1 b3),(after on b1 b4),(after on b1 b5),(after on b1 b6),(after on b1 b7),(after on b1 b8),(after on b1 b9),(after on b10 b1),(after on b10 b10),(after on b10 b11),(after on b10 b2),(after on b10 b3),(after on b10 b4),(after on b10 b5),(after on b10 b6),(after on b10 b7),(after on b10 b8),(after on b10 b9),(after on b11 b1),(after on b11 b10),(after on b11 b11),(after on b11 b2),(after on b11 b3),(after on b11 b4),(after on b11 b5),(after on b11 b6),(after on b11 b7),(after on b11 b8),(after on b11 b9),(after on b2 b1),(after on b2 b10),(after on b2 b11),(after on b2 b2),(after on b2 b3),(after on b2 b4),(after on b2 b5),(after on b2 b6),(after on b2 b7),(after on b2 b8),(after on b2 b9),(after on b3 b1),(after on b3 b10),(after on b3 b11),(after on b3 b2),(after on b3 b3),(after on b3 b4),(after on b3 b5),(after on b3 b6),(after on b3 b7),(after on b3 b8),(after on b3 b9),(after on b4 b1),(after on b4 b10),(after on b4 b11),(after on b4 b2),(after on b4 b3),(after on b4 b4),(after on b4 b5),(after on b4 b6),(after on b4 b7),(after on b4 b8),(after on b4 b9),(after on b5 b1),(after on b5 b10),(after on b5 b11),(after on b5 b2),(after on b5 b3),(after on b5 b4),(after on b5 b5),(after on b5 b6),(after on b5 b7),(after on b5 b8),(after on b5 b9),(after on b6 b1),(after on b6 b10),(after on b6 b11),(after on b6 b2),(after on b6 b3),(after on b6 b4),(after on b6 b5),(after on b6 b6),(after on b6 b7),(after on b6 b8),(after on b6 b9),(after on b7 b1),(after on b7 b10),(after on b7 b11),(after on b7 b2),(after on b7 b3),(after on b7 b4),(after on b7 b5),(after on b7 b6),(after on b7 b7),(after on b7 b8),(after on b7 b9),(after on b8 b1),(after on b8 b10),(after on b8 b11),(after on b8 b2),(after on b8 b3),(after on b8 b4),(after on b8 b5),(after on b8 b6),(after on b8 b7),(after on b8 b8),(after on b8 b9),(after on b9 b1),(after on b9 b10),(after on b9 b11),(after on b9 b2),(after on b9 b3),(after on b9 b4),(after on b9 b5),(after on b9 b6),(after on b9 b7),(after on b9 b8),(after on b9 b9),(after on-table b1),(after on-table b10),(after on-table b11),(after on-table b2),(after on-table b3),(after on-table b4),(after on-table b5),(after on-table b6),(after on-table b7),(after on-table b8),(after on-table b9),(after solid b1),(after solid b10),(after solid b11),(after solid b2),(after solid b3),(after solid b4),(after solid b5),(after solid b6),(after solid b7),(after solid b8),(after solid b9)
false,false,false,false,false,true,false,false,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,false,true,false,true,true,false,true,false,false,false,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,true,false,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,false,true,true,true,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,true,true,true,false,(unstack h1 b2 b4),false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false
false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,false,true,false,true,false,false,true,true,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,(stack-pos-pos h1 b2 b10),true,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,false,true,true,false,true,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false
true,true,false,false,true,true,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,true,false,true,true,true,false,true,false,true,false,true,true,true,true,false,false,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,true,false,false,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,false,false,true,false,false,true,true,false,true,true,false,true,true,false,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,false,true,true,false,(unstack h1 b4 b1),true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,false,false,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,false,true,false,true,false,true,false,true
true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,false,false,true,true,false,true,false,true,true,false,true,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,false,false,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,false,true,false,true,false,true,false,true,(putdown-pos-pos h1 b4),true,true,false,false,true,false,true,true,false,false,false,false,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,true,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,true,true,true,false
true,true,false,false,true,false,true,true,false,false,false,false,true,false,false,false,true,false,true,true,true,true,false,false,true,false,false,true,false,true,true,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,false,true,false,false,false,true,false,true,true,true,false,(unstack h1 b1 b3),true,false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false
true,false,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,(stack-pos-pos h1 b1 b4),true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,true,false,true,true,false,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false
true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,true,true,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,true,false,false,false,true,false,false,false,false,true,true,false,true,false,true,true,false,true,true,false,false,false,true,true,false,true,false,true,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,(unstack h1 b5 b9),false,true,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,false,true
false,true,false,false,false,false,false,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,false,false,true,true,true,false,true,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,false,true,true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,true,false,true,true,false,false,true,true,true,false,false,true,(stack-pos-pos h1 b5 b3),true,true,true,true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,true,false,false
true,true,true,true,false,false,true,true,true,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,true,true,false,false,true,true,false,true,false,false,true,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false,false,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,true,false,false,true,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,true,true,true,false,false,(unstack h2 b8 b11),false,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,false,true,false,false,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,false
false,true,true,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,true,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true,true,false,true,true,false,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,false,true,false,false,true,false,false,true,true,false,true,false,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,false,(stack-neg-neg h2 b8 b1),true,true,true,true,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,false,true,false,true,true,false,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,true,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,true,false,false,false,false,false,true,true,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,true,false,false,false,false,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false
