(before (at-curb c1)),(before (at-curb c2)),(before (at-curb c3)),(before (at-curb c4)),(before (at-curb c5)),(before (at-curb c6)),(before (at-curb-num c1 k3)),(before (at-curb-num c1 k4)),(before (at-curb-num c2 k1)),(before (at-curb-num c3 k2)),(before (at-curb-num c3 k4)),(before (at-curb-num c4 k1)),(before (at-curb-num c4 k3)),(before (at-curb-num c4 k4)),(before (at-curb-num c5 k2)),(before (at-curb-num c6 k1)),(before (at-curb-num c6 k2)),(before (at-curb-num c6 k3)),(before (behind-car c1 c1)),(before (behind-car c1 c2)),(before (behind-car c2 c1)),(before (behind-car c2 c2)),(before (behind-car c3 c6)),(before (behind-car c4 c3)),(before (behind-car c4 c5)),(before (behind-car c5 c5)),(before (behind-car c6 c3)),(before (behind-car c6 c6)),(before (car-clear c1)),(before (car-clear c2)),(before (car-clear c3)),(before (car-clear c5)),(before (car-clear c6)),(before (curb-clear k1)),(before (curb-clear k2)),(before (curb-clear k3)),(before (curb-clear k4)),(after (at-curb c1)),(after (at-curb c2)),(after (at-curb c3)),(after (at-curb c4)),(after (at-curb c5)),(after (at-curb c6)),(after (at-curb-num c1 k1)),(after (at-curb-num c1 k2)),(after (at-curb-num c1 k3)),(after (at-curb-num c1 k4)),(after (at-curb-num c2 k1)),(after (at-curb-num c2 k2)),(after (at-curb-num c2 k3)),(after (at-curb-num c2 k4)),(after (at-curb-num c3 k1)),(after (at-curb-num c3 k2)),(after (at-curb-num c3 k3)),(after (at-curb-num c3 k4)),(after (at-curb-num c4 k1)),(after (at-curb-num c4 k2)),(after (at-curb-num c4 k3)),(after (at-curb-num c4 k4)),(after (at-curb-num c5 k1)),(after (at-curb-num c5 k2)),(after (at-curb-num c5 k3)),(after (at-curb-num c5 k4)),(after (at-curb-num c6 k1)),(after (at-curb-num c6 k2)),(after (at-curb-num c6 k3)),(after (at-curb-num c6 k4)),(after (behind-car c1 c1)),(after (behind-car c1 c2)),(after (behind-car c1 c3)),(after (behind-car c1 c4)),(after (behind-car c1 c5)),(after (behind-car c1 c6)),(after (behind-car c2 c1)),(after (behind-car c2 c2)),(after (behind-car c2 c3)),(after (behind-car c2 c4)),(after (behind-car c2 c5)),(after (behind-car c2 c6)),(after (behind-car c3 c1)),(after (behind-car c3 c2)),(after (behind-car c3 c3)),(after (behind-car c3 c4)),(after (behind-car c3 c5)),(after (behind-car c3 c6)),(after (behind-car c4 c1)),(after (behind-car c4 c2)),(after (behind-car c4 c3)),(after (behind-car c4 c4)),(after (behind-car c4 c5)),(after (behind-car c4 c6)),(after (behind-car c5 c1)),(after (behind-car c5 c2)),(after (behind-car c5 c3)),(after (behind-car c5 c4)),(after (behind-car c5 c5)),(after (behind-car c5 c6)),(after (behind-car c6 c1)),(after (behind-car c6 c2)),(after (behind-car c6 c3)),(after (behind-car c6 c4)),(after (behind-car c6 c5)),(after (behind-car c6 c6)),(after (car-clear c1)),(after (car-clear c2)),(after (car-clear c3)),(after (car-clear c4)),(after (car-clear c5)),(after (car-clear c6)),(after (curb-clear k1)),(after (curb-clear k2)),(after (curb-clear k3)),(after (curb-clear k4)),Decision
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,(move-car-to-curb c4 c3 k3)
False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,(move-curb-to-car c4 k4 c3)
False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,False,(move-curb-to-curb c4 k3 k4)
False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,(move-curb-to-curb c3 k4 k2)
False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,(move-curb-to-curb c4 k1 k3)
False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,(move-curb-to-curb c4 k3 k1)
False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,(move-curb-to-car c6 k2 c6)
False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,(move-car-to-curb c6 c3 k2)
False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,(move-curb-to-car c5 k2 c5)
False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,(move-curb-to-curb c4 k3 k1)
