(before (calibrated i9)),(before (have-image d2 m2)),(before (have-image d4 m1)),(before (have-image d4 m3)),(before (pointing s1 d1)),(before (pointing s1 d2)),(before (pointing s1 d3)),(before (pointing s1 d4)),(before (pointing s1 d5)),(before (pointing s2 d1)),(before (pointing s2 d2)),(before (pointing s2 d3)),(before (pointing s2 d5)),(before (pointing s3 d1)),(before (pointing s3 d2)),(before (pointing s3 d4)),(before (pointing s3 d5)),(before (power-avail s1)),(before (power-avail s2)),(before (power-avail s3)),(before (power-on i2)),(before (power-on i3)),(before (power-on i6)),(before (power-on i9)),(after (calibrated i1)),(after (calibrated i2)),(after (calibrated i3)),(after (calibrated i4)),(after (calibrated i5)),(after (calibrated i6)),(after (calibrated i7)),(after (calibrated i8)),(after (calibrated i9)),(after (calibration-target i1 d1)),(after (calibration-target i1 d2)),(after (calibration-target i1 d3)),(after (calibration-target i1 d4)),(after (calibration-target i1 d5)),(after (calibration-target i2 d1)),(after (calibration-target i2 d2)),(after (calibration-target i2 d3)),(after (calibration-target i2 d4)),(after (calibration-target i2 d5)),(after (calibration-target i3 d1)),(after (calibration-target i3 d2)),(after (calibration-target i3 d3)),(after (calibration-target i3 d4)),(after (calibration-target i3 d5)),(after (calibration-target i4 d1)),(after (calibration-target i4 d2)),(after (calibration-target i4 d3)),(after (calibration-target i4 d4)),(after (calibration-target i4 d5)),(after (calibration-target i5 d1)),(after (calibration-target i5 d2)),(after (calibration-target i5 d3)),(after (calibration-target i5 d4)),(after (calibration-target i5 d5)),(after (calibration-target i6 d1)),(after (calibration-target i6 d2)),(after (calibration-target i6 d3)),(after (calibration-target i6 d4)),(after (calibration-target i6 d5)),(after (calibration-target i7 d1)),(after (calibration-target i7 d2)),(after (calibration-target i7 d3)),(after (calibration-target i7 d4)),(after (calibration-target i7 d5)),(after (calibration-target i8 d1)),(after (calibration-target i8 d2)),(after (calibration-target i8 d3)),(after (calibration-target i8 d4)),(after (calibration-target i8 d5)),(after (calibration-target i9 d1)),(after (calibration-target i9 d2)),(after (calibration-target i9 d3)),(after (calibration-target i9 d4)),(after (calibration-target i9 d5)),(after (have-image d1 m1)),(after (have-image d1 m2)),(after (have-image d1 m3)),(after (have-image d2 m1)),(after (have-image d2 m2)),(after (have-image d2 m3)),(after (have-image d3 m1)),(after (have-image d3 m2)),(after (have-image d3 m3)),(after (have-image d4 m1)),(after (have-image d4 m2)),(after (have-image d4 m3)),(after (have-image d5 m1)),(after (have-image d5 m2)),(after (have-image d5 m3)),(after (on-board i1 s1)),(after (on-board i1 s2)),(after (on-board i1 s3)),(after (on-board i2 s1)),(after (on-board i2 s2)),(after (on-board i2 s3)),(after (on-board i3 s1)),(after (on-board i3 s2)),(after (on-board i3 s3)),(after (on-board i4 s1)),(after (on-board i4 s2)),(after (on-board i4 s3)),(after (on-board i5 s1)),(after (on-board i5 s2)),(after (on-board i5 s3)),(after (on-board i6 s1)),(after (on-board i6 s2)),(after (on-board i6 s3)),(after (on-board i7 s1)),(after (on-board i7 s2)),(after (on-board i7 s3)),(after (on-board i8 s1)),(after (on-board i8 s2)),(after (on-board i8 s3)),(after (on-board i8 satellite2)),(after (on-board i9 s1)),(after (on-board i9 s2)),(after (on-board i9 s3)),(after (pointing s1 d1)),(after (pointing s1 d2)),(after (pointing s1 d3)),(after (pointing s1 d4)),(after (pointing s1 d5)),(after (pointing s2 d1)),(after (pointing s2 d2)),(after (pointing s2 d3)),(after (pointing s2 d4)),(after (pointing s2 d5)),(after (pointing s3 d1)),(after (pointing s3 d2)),(after (pointing s3 d3)),(after (pointing s3 d4)),(after (pointing s3 d5)),(after (power-avail s1)),(after (power-avail s2)),(after (power-avail s3)),(after (power-on i1)),(after (power-on i2)),(after (power-on i3)),(after (power-on i4)),(after (power-on i5)),(after (power-on i6)),(after (power-on i7)),(after (power-on i8)),(after (power-on i9)),(after (supports i1 m1)),(after (supports i1 m2)),(after (supports i1 m3)),(after (supports i2 m1)),(after (supports i2 m2)),(after (supports i2 m3)),(after (supports i3 m1)),(after (supports i3 m2)),(after (supports i3 m3)),(after (supports i4 m1)),(after (supports i4 m2)),(after (supports i4 m3)),(after (supports i5 m1)),(after (supports i5 m2)),(after (supports i5 m3)),(after (supports i6 m1)),(after (supports i6 m2)),(after (supports i6 m3)),(after (supports i7 m1)),(after (supports i7 m2)),(after (supports i7 m3)),(after (supports i8 m1)),(after (supports i8 m2)),(after (supports i8 m3)),(after (supports i9 m1)),(after (supports i9 m2)),(after (supports i9 m3)),Decision
True,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(switch-off i9 s3)
True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s1 d2 d5)
True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s3 d2 d5)
True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s1 d5 d1)
True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s2 d5 d2)
True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s2 d2 d1)
True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s3 d5 d2)
True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(take-image s3 d2 i9 m2)
True,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(switch-on i2 s1)
True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,True,True,(turn-to s1 d1 d3)
