(before at person1 city0),(before at person1 city1),(before at person1 city2),(before at person1 city3),(before at person1 city4),(before at person2 city0),(before at person2 city1),(before at person2 city2),(before at person2 city3),(before at person2 city4),(before at person3 city0),(before at person3 city1),(before at person3 city2),(before at person3 city3),(before at person3 city4),(before at person4 city0),(before at person4 city1),(before at person4 city2),(before at person4 city3),(before at person4 city4),(before at person5 city0),(before at person5 city1),(before at person5 city2),(before at person5 city3),(before at person5 city4),(before at plane1 city0),(before at plane1 city1),(before at plane1 city2),(before at plane1 city3),(before at plane1 city4),(before at plane2 city0),(before at plane2 city1),(before at plane2 city2),(before at plane2 city3),(before at plane2 city4),(before fuel-level plane1 fl0),(before fuel-level plane1 fl1),(before fuel-level plane1 fl2),(before fuel-level plane1 fl3),(before fuel-level plane1 fl4),(before fuel-level plane1 fl5),(before fuel-level plane1 fl6),(before fuel-level plane2 fl0),(before fuel-level plane2 fl1),(before fuel-level plane2 fl2),(before fuel-level plane2 fl3),(before fuel-level plane2 fl4),(before fuel-level plane2 fl5),(before fuel-level plane2 fl6),(before in person1 plane1),(before in person1 plane2),(before in person2 plane1),(before in person2 plane2),(before in person3 plane1),(before in person3 plane2),(before in person4 plane1),(before in person4 plane2),(before in person5 plane1),(before in person5 plane2),(before next fl0 fl1),(before next fl0 fl2),(before next fl0 fl3),(before next fl0 fl4),(before next fl0 fl5),(before next fl0 fl6),(before next fl1 fl0),(before next fl1 fl2),(before next fl1 fl3),(before next fl1 fl4),(before next fl1 fl5),(before next fl1 fl6),(before next fl2 fl0),(before next fl2 fl1),(before next fl2 fl3),(before next fl2 fl4),(before next fl2 fl5),(before next fl2 fl6),(before next fl3 fl0),(before next fl3 fl1),(before next fl3 fl2),(before next fl3 fl4),(before next fl3 fl5),(before next fl3 fl6),(before next fl4 fl0),(before next fl4 fl1),(before next fl4 fl2),(before next fl4 fl3),(before next fl4 fl5),(before next fl4 fl6),(before next fl5 fl0),(before next fl5 fl1),(before next fl5 fl2),(before next fl5 fl3),(before next fl5 fl4),(before next fl5 fl6),(before next fl6 fl0),(before next fl6 fl1),(before next fl6 fl2),(before next fl6 fl3),(before next fl6 fl4),(before next fl6 fl5),(after at person1 city0),(after at person1 city1),(after at person1 city2),(after at person1 city3),(after at person1 city4),(after at person2 city0),(after at person2 city1),(after at person2 city2),(after at person2 city3),(after at person2 city4),(after at person3 city0),(after at person3 city1),(after at person3 city2),(after at person3 city3),(after at person3 city4),(after at person4 city0),(after at person4 city1),(after at person4 city2),(after at person4 city3),(after at person4 city4),(after at person5 city0),(after at person5 city1),(after at person5 city2),(after at person5 city3),(after at person5 city4),(after at plane1 city0),(after at plane1 city1),(after at plane1 city2),(after at plane1 city3),(after at plane1 city4),(after at plane2 city0),(after at plane2 city1),(after at plane2 city2),(after at plane2 city3),(after at plane2 city4),(after fuel-level plane1 fl0),(after fuel-level plane1 fl1),(after fuel-level plane1 fl2),(after fuel-level plane1 fl3),(after fuel-level plane1 fl4),(after fuel-level plane1 fl5),(after fuel-level plane1 fl6),(after fuel-level plane2 fl0),(after fuel-level plane2 fl1),(after fuel-level plane2 fl2),(after fuel-level plane2 fl3),(after fuel-level plane2 fl4),(after fuel-level plane2 fl5),(after fuel-level plane2 fl6),(after in person1 plane1),(after in person1 plane2),(after in person2 plane1),(after in person2 plane2),(after in person3 plane1),(after in person3 plane2),(after in person4 plane1),(after in person4 plane2),(after in person5 plane1),(after in person5 plane2),(after next fl0 fl1),(after next fl0 fl2),(after next fl0 fl3),(after next fl0 fl4),(after next fl0 fl5),(after next fl0 fl6),(after next fl1 fl0),(after next fl1 fl2),(after next fl1 fl3),(after next fl1 fl4),(after next fl1 fl5),(after next fl1 fl6),(after next fl2 fl0),(after next fl2 fl1),(after next fl2 fl3),(after next fl2 fl4),(after next fl2 fl5),(after next fl2 fl6),(after next fl3 fl0),(after next fl3 fl1),(after next fl3 fl2),(after next fl3 fl4),(after next fl3 fl5),(after next fl3 fl6),(after next fl4 fl0),(after next fl4 fl1),(after next fl4 fl2),(after next fl4 fl3),(after next fl4 fl5),(after next fl4 fl6),(after next fl5 fl0),(after next fl5 fl1),(after next fl5 fl2),(after next fl5 fl3),(after next fl5 fl4),(after next fl5 fl6),(after next fl6 fl0),(after next fl6 fl1),(after next fl6 fl2),(after next fl6 fl3),(after next fl6 fl4),(after next fl6 fl5),Decision
False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False,(fly plane2 city1 city0 fl4 fl3)
True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,(fly plane1 city2 city3 fl3 fl2)
False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,(board person4 plane1 city3)
True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,(board person1 plane1 city3)
False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,(fly plane1 city3 city1 fl2 fl1)
True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,True,True,(board person3 plane1 city1)
False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,(debark person1 plane1 city1)
False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,(fly plane1 city1 city2 fl1 fl0)
False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,(refuel plane1 city2 fl0 fl1)
False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,(debark person4 plane1 city2)
